31294	Madhya Pradesh	BT India	location
26080	Maharashtra	BT India	location
15970	Maine	BT New England States of USA	location
667	Malawi	UF Republic of Malawi; Nyasaland / BT Southern Africa; East Africa	location
670	Malaysia	UF West Malaysia; Malaya (country) / BT South East Asia	location
664	Maldives	UF Republic of Maldives / BT South Asia	location
190	Mali	UF Republic of Mali / BT Francophone Africa; West Africa	location
430	Malta	BT Mediterranean region	location
24805	Manitoba	BT Canada	location
31852	Maranhao	BT Brazil	location
373	Marshall Islands	UF Republic of the Marshall Islands; American Oceania (Marshall Islands) / SN The Marshall Islands were once part of the Trust Territory of the Pacific Islands. They now form the Republic of the Marshall Islands. / DF Source: ILO, 2005 / BT Pacific Islands	location
23959	Martinique	UF French West Indies (Martinique) / BT French West Indies	location
10429	Maryland	BT North Eastern States (USA)	location
13588	Massachusetts	UF Cape Cod / BT New England States of USA	location
26728	Mato Grosso	BT Brazil	location
